Instance,Init,Algorithm,Cost,Time_s
N-t59f11xx_150,Random,Insert_Best,1518942,0.083412
N-t59f11xx_150,CW,Transpose_First,1282066,0.000009
N-t59f11xx_150,CW,Transpose_Best,1284294,0.000009
N-t59f11xx_150,CW,Exchange_First,1516395,0.234672
N-t59f11xx_150,CW,Exchange_Best,1490938,0.043508
N-t59f11xx_150,CW,Insert_First,1528630,0.234269
N-t59f11xx_150,CW,Insert_Best,1522456,0.071282
N-t59f11xx_150,CW,VND_TEI,1514893,0.231726
N-t59f11xx_150,CW,VND_TIE,1525458,0.252564
N-t59f11xx_250,Random,Transpose_First,2807380,0.000012
N-t59f11xx_250,Random,Transpose_Best,2812452,0.000018
N-t59f11xx_250,Random,Exchange_First,3867492,3.103727
N-t59f11xx_250,Random,Exchange_Best,3858154,0.556949
N-t59f11xx_250,Random,Insert_First,3926619,2.983765
N-t59f11xx_250,Random,Insert_Best,3886358,0.589045
N-t59f11xx_250,CW,Transpose_First,3302880,0.000008
N-t59f11xx_250,CW,Transpose_Best,3308860,0.000015
N-t59f11xx_250,CW,Exchange_First,3902339,2.687966
N-t59f11xx_250,CW,Exchange_Best,3859920,0.532820
N-t59f11xx_250,CW,Insert_First,3926705,2.264195
N-t59f11xx_250,CW,Insert_Best,3916172,0.585268
N-t59f11xx_250,CW,VND_TEI,3923064,2.993471
N-t59f11xx_250,CW,VND_TIE,3929087,2.195292
N-t59n11xx_150,Random,Transpose_First,201789,0.000009
N-t59n11xx_150,Random,Transpose_Best,202344,0.000011
N-t59n11xx_150,Random,Exchange_First,309357,0.327088
N-t59n11xx_150,Random,Exchange_Best,309362,0.069836
N-t59n11xx_150,Random,Insert_First,311760,0.277216
N-t59n11xx_150,Random,Insert_Best,315761,0.084948
N-t59n11xx_150,CW,Transpose_First,268707,0.000005
N-t59n11xx_150,CW,Transpose_Best,268569,0.000007
N-t59n11xx_150,CW,Exchange_First,309278,0.196763
N-t59n11xx_150,CW,Exchange_Best,308479,0.049596
N-t59n11xx_150,CW,Insert_First,312672,0.224022
N-t59n11xx_150,CW,Insert_Best,312580,0.056248
N-t59n11xx_150,CW,VND_TEI,311997,0.217505
N-t59n11xx_150,CW,VND_TIE,312882,0.218880
N-t59n11xx_250,Random,Transpose_First,551214,0.000010
N-t59n11xx_250,Random,Transpose_Best,551318,0.000017
N-t59n11xx_250,Random,Exchange_First,804222,3.576612
N-t59n11xx_250,Random,Exchange_Best,790131,0.521660
N-t59n11xx_250,Random,Insert_First,807724,2.738222
N-t59n11xx_250,Random,Insert_Best,803197,0.626780
N-t59n11xx_250,CW,Transpose_First,677500,0.000011
N-t59n11xx_250,CW,Transpose_Best,677908,0.000022
N-t59n11xx_250,CW,Exchange_First,801923,2.911527
N-t59n11xx_250,CW,Exchange_Best,800054,0.448481
N-t59n11xx_250,CW,Insert_First,807647,2.440559
