Instance,Init,Algorithm,Cost,Time_s,Deviation_%
N-stabu2_150,CW,VND_TIE,4260123,0.269181,1.557814
N-stabu2_250,Random,Transpose_First,8062091,0.000016,29.897592
N-stabu2_250,Random,Transpose_Best,8105175,0.000032,29.522963
N-stabu2_250,Random,Exchange_First,11173048,4.273742,2.846846
N-stabu2_250,Random,Exchange_Best,11086653,0.638025,3.598077
N-stabu2_250,Random,Insert_First,11246083,3.907898,2.211783
N-stabu2_250,Random,Insert_Best,11282792,0.703979,1.892587
N-stabu2_250,CW,Transpose_First,9796998,0.000017,14.812032
N-stabu2_250,CW,Transpose_Best,9809566,0.000025,14.702749
N-stabu2_250,CW,Exchange_First,11246102,3.537208,2.211618
N-stabu2_250,CW,Exchange_Best,11175831,0.619312,2.822647
N-stabu2_250,CW,Insert_First,11343204,3.007181,1.367286
N-stabu2_250,CW,Insert_Best,11308204,0.577792,1.671622
N-stabu2_250,CW,VND_TEI,11314259,3.808453,1.618972
N-stabu2_250,CW,VND_TIE,11346299,2.512724,1.340374
N-stabu3_150,Random,Transpose_First,2651712,0.000010,41.209526
N-stabu3_150,Random,Transpose_Best,2647243,0.000009,41.308607
N-stabu3_150,Random,Exchange_First,4398699,0.374552,2.477494
N-stabu3_150,Random,Exchange_Best,4350861,0.058733,3.538099
N-stabu3_150,Random,Insert_First,4459764,0.375220,1.123636
N-stabu3_150,Random,Insert_Best,4432284,0.088599,1.732889
N-stabu3_150,CW,Transpose_First,3761091,0.000006,16.613749
N-stabu3_150,CW,Transpose_Best,3785524,0.000009,16.072051
N-stabu3_150,CW,Exchange_First,4400030,0.328226,2.447985
N-stabu3_150,CW,Exchange_Best,4387071,0.059624,2.735296
N-stabu3_150,CW,Insert_First,4435836,0.262334,1.654138
N-stabu3_150,CW,Insert_Best,4435643,0.060487,1.658417
N-stabu3_150,CW,VND_TEI,4454501,0.312797,1.240321
N-stabu3_150,CW,VND_TIE,4437147,0.274740,1.625072
N-stabu3_250,Random,Transpose_First,7552108,0.000015,36.538587
N-stabu3_250,Random,Transpose_Best,7592894,0.000028,36.195857
N-stabu3_250,Random,Exchange_First,11567513,5.135155,2.796581
N-stabu3_250,Random,Exchange_Best,11549906,0.711259,2.944536
N-stabu3_250,Random,Insert_First,11751489,4.054953,1.250606
N-stabu3_250,Random,Insert_Best,11614266,0.705988,2.403709
N-stabu3_250,CW,Transpose_First,10037521,0.000020,15.653317
N-stabu3_250,CW,Transpose_Best,10074173,0.000033,15.345325
N-stabu3_250,CW,Exchange_First,11648757,4.362659,2.113877
N-stabu3_250,CW,Exchange_Best,11578664,0.571334,2.702878
N-stabu3_250,CW,Insert_First,11727769,3.005859,1.449928
N-stabu3_250,CW,Insert_Best,11656789,0.566630,2.046383
N-stabu3_250,CW,VND_TEI,11712428,4.212340,1.578841
N-stabu3_250,CW,VND_TIE,11714351,2.837478,1.562681
N-t59b11xx_150,Random,Transpose_First,2190795,0.000006,32.373478
N-t59b11xx_150,Random,Transpose_Best,2197385,0.000008,32.170054
N-t59b11xx_150,Random,Exchange_First,3173245,0.249097,2.046735
N-t59b11xx_150,Random,Exchange_Best,3127495,0.054247,3.458968
N-t59b11xx_150,Random,Insert_First,3187265,0.262450,1.613959
N-t59b11xx_150,Random,Insert_Best,3173655,0.079172,2.034079
N-t59b11xx_150,CW,Transpose_First,2677330,0.000004,17.354880
N-t59b11xx_150,CW,Transpose_Best,2679880,0.000006,17.276165
N-t59b11xx_150,CW,Exchange_First,3148520,0.188482,2.809958
N-t59b11xx_150,CW,Exchange_Best,3135240,0.045109,3.219892
N-t59b11xx_150,CW,Insert_First,3190210,0.171132,1.523051
N-t59b11xx_150,CW,Insert_Best,3162490,0.070313,2.378725
N-t59b11xx_150,CW,VND_TEI,3169290,0.267921,2.168820
N-t59b11xx_150,CW,VND_TIE,3184865,0.181633,1.688043
N-t59b11xx_250,Random,Transpose_First,5591620,0.000010,33.527344
N-t59b11xx_250,Random,Transpose_Best,5591855,0.000016,33.524550
N-t59b11xx_250,Random,Exchange_First,8156485,2.699156,3.036469
N-t59b11xx_250,Random,Exchange_Best,8109395,0.625638,3.596270
N-t59b11xx_250,Random,Insert_First,8225225,2.898164,2.219294
N-t59b11xx_250,Random,Insert_Best,8146530,0.709261,3.154813
N-t59b11xx_250,CW,Transpose_First,7040520,0.000014,16.302956
N-t59b11xx_250,CW,Transpose_Best,7047045,0.000018,16.225388
N-t59b11xx_250,CW,Exchange_First,8188485,2.445680,2.656056
N-t59b11xx_250,CW,Exchange_Best,8135045,0.492386,3.291345
N-t59b11xx_250,CW,Insert_First,8270180,2.079982,1.684873
N-t59b11xx_250,CW,Insert_Best,8220960,0.665750,2.269996
N-t59b11xx_250,CW,VND_TEI,8268925,3.217338,1.699792
N-t59b11xx_250,CW,VND_TIE,8268325,2.003950,1.706925
N-t59d11xx_150,Random,Transpose_First,944878,0.000007,35.401659
N-t59d11xx_150,Random,Transpose_Best,945637,0.000007,35.349768
N-t59d11xx_150,Random,Exchange_First,1420614,0.265419,2.877083
N-t59d11xx_150,Random,Exchange_Best,1408677,0.059736,3.693178
N-t59d11xx_150,Random,Insert_First,1433021,0.290556,2.028855
N-t59d11xx_150,Random,Insert_Best,1434708,0.083957,1.913520
N-t59d11xx_150,CW,Transpose_First,1225613,0.000005,16.208688
N-t59d11xx_150,CW,Transpose_Best,1228680,0.000007,15.999007
N-t59d11xx_150,CW,Exchange_First,1426626,0.220110,2.466061
N-t59d11xx_150,CW,Exchange_Best,1417185,0.044941,3.111513
N-t59d11xx_150,CW,Insert_First,1441317,0.246272,1.461683
N-t59d11xx_150,CW,Insert_Best,1441103,0.066771,1.476314
N-t59d11xx_150,CW,VND_TEI,1436146,0.240099,1.815208
N-t59d11xx_150,CW,VND_TIE,1443691,0.217922,1.299381
N-t59d11xx_250,Random,Transpose_First,2676664,0.000011,30.316386
N-t59d11xx_250,Random,Transpose_Best,2685286,0.000021,30.091923
N-t59d11xx_250,Random,Exchange_First,3749417,3.152356,2.388597
N-t59d11xx_250,Random,Exchange_Best,3714911,0.565566,3.286918
N-t59d11xx_250,Random,Insert_First,3774817,3.075067,1.727340
N-t59d11xx_250,Random,Insert_Best,3782677,0.680372,1.522714
N-t59d11xx_250,CW,Transpose_First,3256071,0.000012,15.232246
N-t59d11xx_250,CW,Transpose_Best,3260352,0.000018,15.120795
N-t59d11xx_250,CW,Exchange_First,3754827,2.585676,2.247754
N-t59d11xx_250,CW,Exchange_Best,3728072,0.481140,2.944288
N-t59d11xx_250,CW,Insert_First,3792906,2.080338,1.256415
N-t59d11xx_250,CW,Insert_Best,3762976,0.520706,2.035605
N-t59d11xx_250,CW,VND_TEI,3800277,3.072739,1.064520
N-t59d11xx_250,CW,VND_TIE,3780609,2.003926,1.576552
N-t59f11xx_150,Random,Transpose_First,1017299,0.000006,34.101363
N-t59f11xx_150,Random,Transpose_Best,1020804,0.000010,33.874316
N-t59f11xx_150,Random,Exchange_First,1489560,0.252345,3.509221
N-t59f11xx_150,Random,Exchange_Best,1490221,0.055893,3.466403
N-t59f11xx_150,Random,Insert_First,1514993,0.261248,1.861721
N-t59f11xx_150,Random,Insert_Best,1518942,0.083561,1.605912
N-t59f11xx_150,CW,Transpose_First,1282066,0.000006,16.950276
N-t59f11xx_150,CW,Transpose_Best,1284294,0.000009,16.805950
N-t59f11xx_150,CW,Exchange_First,1516395,0.243159,1.770902
N-t59f11xx_150,CW,Exchange_Best,1490938,0.043656,3.419957
N-t59f11xx_150,CW,Insert_First,1528630,0.209670,0.978343
N-t59f11xx_150,CW,Insert_Best,1522456,0.075711,1.378282
N-t59f11xx_150,CW,VND_TEI,1514893,0.233209,1.868199
N-t59f11xx_150,CW,VND_TIE,1525458,0.224395,1.183819
N-t59f11xx_250,Random,Transpose_First,2807380,0.000012,29.692567
N-t59f11xx_250,Random,Transpose_Best,2812452,0.000019,29.565545
N-t59f11xx_250,Random,Exchange_First,3867492,3.171309,3.143346
N-t59f11xx_250,Random,Exchange_Best,3858154,0.574234,3.377205
N-t59f11xx_250,Random,Insert_First,3926619,2.889718,1.662582
N-t59f11xx_250,Random,Insert_Best,3886358,0.618930,2.670870
N-t59f11xx_250,CW,Transpose_First,3302880,0.000009,17.283370
N-t59f11xx_250,CW,Transpose_Best,3308860,0.000045,17.133608
N-t59f11xx_250,CW,Exchange_First,3902339,2.807913,2.270645
