Instance,Init,Algorithm,Cost,Time_s
N-t59n11xx_250,Random,Transpose_Best,551318,0.000022
N-t59n11xx_250,Random,Exchange_First,804222,3.735568
N-t59n11xx_250,Random,Exchange_Best,790131,0.552290
N-t59n11xx_250,Random,Insert_First,807724,2.641348
N-t59n11xx_250,Random,Insert_Best,803197,0.652525
N-t59n11xx_250,CW,Transpose_First,677500,0.000013
N-t59n11xx_250,CW,Transpose_Best,677908,0.000020
N-t59n11xx_250,CW,Exchange_First,801923,3.066800
N-t59n11xx_250,CW,Exchange_Best,800054,0.477681
N-t59n11xx_250,CW,Insert_First,807647,2.325475
N-t59n11xx_250,CW,Insert_Best,808042,0.608698
N-t59n11xx_250,CW,VND_TEI,808894,3.244191
N-t59n11xx_250,CW,VND_TIE,806980,2.099194
N-t65b11xx_150,Random,Transpose_First,4321260,0.000008
N-t65b11xx_150,Random,Transpose_Best,4336920,0.000010
N-t65b11xx_150,Random,Exchange_First,6288862,0.374984
N-t65b11xx_150,Random,Exchange_Best,6155506,0.070800
N-t65b11xx_150,Random,Insert_First,6357867,0.376175
N-t65b11xx_150,Random,Insert_Best,6298106,0.081946
N-t65b11xx_150,CW,Transpose_First,5358202,0.000006
N-t65b11xx_150,CW,Transpose_Best,5368063,0.000010
N-t65b11xx_150,CW,Exchange_First,6289715,0.263921
N-t65b11xx_150,CW,Exchange_Best,6273353,0.062877
N-t65b11xx_150,CW,Insert_First,6313937,0.238202
N-t65b11xx_150,CW,Insert_Best,6331977,0.064291
N-t65b11xx_150,CW,VND_TEI,6340222,0.299127
N-t65b11xx_150,CW,VND_TIE,6313684,0.242948
N-t65b11xx_250,Random,Transpose_First,10983195,0.000027
N-t65b11xx_250,Random,Transpose_Best,11094873,0.000049
N-t65b11xx_250,Random,Exchange_First,16760124,4.290050
N-t65b11xx_250,Random,Exchange_Best,16567664,0.614180
N-t65b11xx_250,Random,Insert_First,16780305,3.860599
N-t65b11xx_250,Random,Insert_Best,16880766,0.683463
N-t65b11xx_250,CW,Transpose_First,14209759,0.000014
N-t65b11xx_250,CW,Transpose_Best,14206807,0.000030
N-t65b11xx_250,CW,Exchange_First,16881483,4.101986
N-t65b11xx_250,CW,Exchange_Best,16685819,0.551997
N-t65b11xx_250,CW,Insert_First,16922940,3.017557
N-t65b11xx_250,CW,Insert_Best,16920396,0.643621
N-t65b11xx_250,CW,VND_TEI,16897981,4.084311
N-t65b11xx_250,CW,VND_TIE,16912869,2.876102
N-t65d11xx_150,Random,Transpose_First,2385962,0.000008
N-t65d11xx_150,Random,Transpose_Best,2398550,0.000013
N-t65d11xx_150,Random,Exchange_First,3451744,0.310652
N-t65d11xx_150,Random,Exchange_Best,3436373,0.072577
N-t65d11xx_150,Random,Insert_First,3511088,0.331116
N-t65d11xx_150,Random,Insert_Best,3449880,0.091581
N-t65d11xx_150,CW,Transpose_First,3017902,0.000009
N-t65d11xx_150,CW,Transpose_Best,3026799,0.000014
N-t65d11xx_150,CW,Exchange_First,3487281,0.239198
N-t65d11xx_150,CW,Exchange_Best,3444161,0.051052
N-t65d11xx_150,CW,Insert_First,3491289,0.206931
N-t65d11xx_150,CW,Insert_Best,3486585,0.075522
N-t65d11xx_150,CW,VND_TEI,3505565,0.258037
N-t65d11xx_150,CW,VND_TIE,3505966,0.209992
N-t65d11xx_250,Random,Transpose_First,6291686,0.000014
N-t65d11xx_250,Random,Transpose_Best,6318920,0.000026
N-t65d11xx_250,Random,Exchange_First,9075505,3.820547
N-t65d11xx_250,Random,Exchange_Best,8968092,0.613537
N-t65d11xx_250,Random,Insert_First,9087435,3.728183
N-t65d11xx_250,Random,Insert_Best,9105394,0.795057
N-t65d11xx_250,CW,Transpose_First,7889100,0.000016
N-t65d11xx_250,CW,Transpose_Best,7881453,0.000029
N-t65d11xx_250,CW,Exchange_First,9148690,3.586163
N-t65d11xx_250,CW,Exchange_Best,9091834,0.544718
N-t65d11xx_250,CW,Insert_First,9179106,2.730244
N-t65d11xx_250,CW,Insert_Best,9173885,0.609119
N-t65d11xx_250,CW,VND_TEI,9180513,3.388895
N-t65d11xx_250,CW,VND_TIE,9201855,2.684495
N-t65f11xx_150,Random,Transpose_First,2143139,0.000008
N-t65f11xx_150,Random,Transpose_Best,2144084,0.000008
N-t65f11xx_150,Random,Exchange_First,3060658,0.315198
N-t65f11xx_150,Random,Exchange_Best,3053624,0.058864
N-t65f11xx_150,Random,Insert_First,3077304,0.364255
N-t65f11xx_150,Random,Insert_Best,3094701,0.075362
N-t65f11xx_150,CW,Transpose_First,2650742,0.000007
