Instance,Init,Algorithm,Cost,Time_s
N-t65b11xx_250,CW,Insert_Best,16920396,0.634350
N-t65b11xx_250,CW,VND_TEI,16897981,3.916074
N-t65b11xx_250,CW,VND_TIE,16912869,2.746115
N-t65d11xx_150,Random,Transpose_First,2385962,0.000009
N-t65d11xx_150,Random,Transpose_Best,2398550,0.000013
N-t65d11xx_150,Random,Exchange_First,3451744,0.307130
N-t65d11xx_150,Random,Exchange_Best,3436373,0.066295
N-t65d11xx_150,Random,Insert_First,3511088,0.320030
N-t65d11xx_150,Random,Insert_Best,3449880,0.088603
N-t65d11xx_150,CW,Transpose_First,3017902,0.000008
N-t65d11xx_150,CW,Transpose_Best,3026799,0.000010
N-t65d11xx_150,CW,Exchange_First,3487281,0.232421
N-t65d11xx_150,CW,Exchange_Best,3444161,0.047978
N-t65d11xx_150,CW,Insert_First,3491289,0.194650
N-t65d11xx_150,CW,Insert_Best,3486585,0.075024
N-t65d11xx_150,CW,VND_TEI,3505565,0.250792
N-t65d11xx_150,CW,VND_TIE,3505966,0.208598
N-t65d11xx_250,Random,Transpose_First,6291686,0.000011
N-t65d11xx_250,Random,Transpose_Best,6318920,0.000022
N-t65d11xx_250,Random,Exchange_First,9075505,3.627895
N-t65d11xx_250,Random,Exchange_Best,8968092,0.578225
N-t65d11xx_250,Random,Insert_First,9087435,3.598038
N-t65d11xx_250,Random,Insert_Best,9105394,0.776628
N-t65d11xx_250,CW,Transpose_First,7889100,0.000017
N-t65d11xx_250,CW,Transpose_Best,7881453,0.000026
N-t65d11xx_250,CW,Exchange_First,9148690,3.450747
N-t65d11xx_250,CW,Exchange_Best,9091834,0.530414
N-t65d11xx_250,CW,Insert_First,9179106,2.767412
N-t65d11xx_250,CW,Insert_Best,9173885,0.595698
N-t65d11xx_250,CW,VND_TEI,9180513,3.242332
N-t65d11xx_250,CW,VND_TIE,9201855,2.603883
N-t65f11xx_150,Random,Transpose_First,2143139,0.000007
N-t65f11xx_150,Random,Transpose_Best,2144084,0.000010
N-t65f11xx_150,Random,Exchange_First,3060658,0.298642
N-t65f11xx_150,Random,Exchange_Best,3053624,0.057384
N-t65f11xx_150,Random,Insert_First,3077304,0.333965
N-t65f11xx_150,Random,Insert_Best,3094701,0.075919
N-t65f11xx_150,CW,Transpose_First,2650742,0.000005
N-t65f11xx_150,CW,Transpose_Best,2647685,0.000008
N-t65f11xx_150,CW,Exchange_First,3084141,0.216907
N-t65f11xx_150,CW,Exchange_Best,3060886,0.051047
N-t65f11xx_150,CW,Insert_First,3089054,0.246469
N-t65f11xx_150,CW,Insert_Best,3101222,0.068973
N-t65f11xx_150,CW,VND_TEI,3091743,0.261938
N-t65f11xx_150,CW,VND_TIE,3086926,0.171090
N-t65f11xx_250,Random,Transpose_First,5792510,0.000018
N-t65f11xx_250,Random,Transpose_Best,5797863,0.000032
N-t65f11xx_250,Random,Exchange_First,8149745,3.908686
N-t65f11xx_250,Random,Exchange_Best,8104673,0.623852
N-t65f11xx_250,Random,Insert_First,8253745,3.607263
N-t65f11xx_250,Random,Insert_Best,8196647,0.675475
N-t65f11xx_250,CW,Transpose_First,7114179,0.000015
N-t65f11xx_250,CW,Transpose_Best,7121152,0.000028
N-t65f11xx_250,CW,Exchange_First,8200306,3.132496
N-t65f11xx_250,CW,Exchange_Best,8119279,0.473323
N-t65f11xx_250,CW,Insert_First,8289311,2.733662
N-t65f11xx_250,CW,Insert_Best,8238391,0.637376
N-t65f11xx_250,CW,VND_TEI,8246160,3.392331
N-t65f11xx_250,CW,VND_TIE,8257075,2.249569
N-t65l11xx_150,Random,Transpose_First,128191,0.000003
N-t65l11xx_150,Random,Transpose_Best,128369,0.000003
N-t65l11xx_150,Random,Exchange_First,250051,0.260278
N-t65l11xx_150,Random,Exchange_Best,247080,0.056064
N-t65l11xx_150,Random,Insert_First,248920,0.187487
N-t65l11xx_150,Random,Insert_Best,249865,0.082316
N-t65l11xx_150,CW,Transpose_First,212453,0.000003
N-t65l11xx_150,CW,Transpose_Best,212466,0.000004
N-t65l11xx_150,CW,Exchange_First,247354,0.206484
N-t65l11xx_150,CW,Exchange_Best,246467,0.037526
N-t65l11xx_150,CW,Insert_First,248929,0.146009
N-t65l11xx_150,CW,Insert_Best,249067,0.058350
N-t65l11xx_150,CW,VND_TEI,249201,0.210659
N-t65l11xx_150,CW,VND_TIE,248967,0.156027
N-t65l11xx_250,Random,Transpose_First,395635,0.000005
N-t65l11xx_250,Random,Transpose_Best,396207,0.000006
N-t65l11xx_250,Random,Exchange_First,652205,3.434070
N-t65l11xx_250,Random,Exchange_Best,642843,0.484752
N-t65l11xx_250,Random,Insert_First,653157,2.213535
N-t65l11xx_250,Random,Insert_Best,651004,0.677620
N-t65l11xx_250,CW,Transpose_First,540729,0.000007
N-t65l11xx_250,CW,Transpose_Best,540744,0.000010
N-t65l11xx_250,CW,Exchange_First,654025,2.722951
N-t65l11xx_250,CW,Exchange_Best,650066,0.486250
N-t65l11xx_250,CW,Insert_First,654532,1.803498
N-t65l11xx_250,CW,Insert_Best,655620,0.577073
N-t65l11xx_250,CW,VND_TEI,656564,2.793579
N-t65l11xx_250,CW,VND_TIE,657237,1.775988
N-t65n11xx_150,Random,Transpose_First,342935,0.000007
N-t65n11xx_150,Random,Transpose_Best,346166,0.000008
N-t65n11xx_150,Random,Exchange_First,535610,0.346652
N-t65n11xx_150,Random,Exchange_Best,531415,0.055556
N-t65n11xx_150,Random,Insert_First,540462,0.347933
N-t65n11xx_150,Random,Insert_Best,539303,0.091360
N-t65n11xx_150,CW,Transpose_First,444448,0.000005
N-t65n11xx_150,CW,Transpose_Best,445370,0.000008
N-t65n11xx_150,CW,Exchange_First,540137,0.263322
N-t65n11xx_150,CW,Exchange_Best,537067,0.048655
N-t65n11xx_150,CW,Insert_First,541772,0.220585
N-t65n11xx_150,CW,Insert_Best,542739,0.078442
N-t65n11xx_150,CW,VND_TEI,543370,0.275456
N-t65n11xx_150,CW,VND_TIE,544280,0.245693
N-t65n11xx_250,Random,Transpose_First,952838,0.000012
N-t65n11xx_250,Random,Transpose_Best,955134,0.000019
N-t65n11xx_250,Random,Exchange_First,1390315,3.807695
N-t65n11xx_250,Random,Exchange_Best,1373112,0.619227
N-t65n11xx_250,Random,Insert_First,1395804,3.361423
N-t65n11xx_250,Random,Insert_Best,1388620,0.645375
N-t65n11xx_250,CW,Transpose_First,1187218,0.000016
N-t65n11xx_250,CW,Transpose_Best,1193356,0.000026
N-t65n11xx_250,CW,Exchange_First,1401022,2.966565
N-t65n11xx_250,CW,Exchange_Best,1394916,0.575669
N-t65n11xx_250,CW,Insert_First,1408683,2.308427
N-t65n11xx_250,CW,Insert_Best,1400567,0.587335
N-t65n11xx_250,CW,VND_TEI,1412240,3.543851
N-t65n11xx_250,CW,VND_TIE,1412965,2.168057
N-t69r11xx_150,Random,Transpose_First,7600701,0.000006
N-t69r11xx_150,Random,Transpose_Best,7609678,0.000008
N-t69r11xx_150,Random,Exchange_First,11426358,0.283877
N-t69r11xx_150,Random,Exchange_Best,11418554,0.063842
N-t69r11xx_150,Random,Insert_First,11590407,0.273515
N-t69r11xx_150,Random,Insert_Best,11597668,0.073893
N-t69r11xx_150,CW,Transpose_First,9684776,0.000004
N-t69r11xx_150,CW,Transpose_Best,9698234,0.000006
N-t69r11xx_150,CW,Exchange_First,11531126,0.269994
N-t69r11xx_150,CW,Exchange_Best,11463500,0.052879
N-t69r11xx_150,CW,Insert_First,11544988,0.219065
N-t69r11xx_150,CW,Insert_Best,11597493,0.070773
N-t69r11xx_150,CW,VND_TEI,11559482,0.305481
N-t69r11xx_150,CW,VND_TIE,11602495,0.225391
N-t69r11xx_250,Random,Transpose_First,21060290,0.000012
N-t69r11xx_250,Random,Transpose_Best,21165097,0.000020
N-t69r11xx_250,Random,Exchange_First,30982032,4.347913
N-t69r11xx_250,Random,Exchange_Best,30474224,0.600052
N-t69r11xx_250,Random,Insert_First,31210160,3.493930
N-t69r11xx_250,Random,Insert_Best,30985808,0.682342
